county,office,district,party,candidate,votes,winner,write-in
Pima,President,,NONE,"Sheila ""Samm"" Tittle",4,,TRUE
Pinal,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE
Santa Cruz,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE
Yavapai,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE
Yuma,President,,NONE,"Sheila ""Samm"" Tittle",0,,TRUE
,President,,NONE,"Sheila ""Samm"" Tittle",6,,TRUE
Apache,President,,REP,Mitt Romney,8250,,
Cochise,President,,REP,Mitt Romney,29497,,
Coconino,President,,REP,Mitt Romney,21220,,
Gila,President,,REP,Mitt Romney,13455,,
Graham,President,,REP,Mitt Romney,8076,,
Greenlee,President,,REP,Mitt Romney,1592,,
La Paz,President,,REP,Mitt Romney,3714,,
Maricopa,President,,REP,Mitt Romney,749885,,
Mohave,President,,REP,Mitt Romney,49168,,
Navajo,President,,REP,Mitt Romney,19884,,
Pima,President,,REP,Mitt Romney,174779,,
Pinal,President,,REP,Mitt Romney,62079,,
Santa Cruz,President,,REP,Mitt Romney,4235,,
Yavapai,President,,REP,Mitt Romney,64468,,
Yuma,President,,REP,Mitt Romney,23352,,
,President,,REP,Mitt Romney,1233654,TRUE,
Apache,President,,IAP,Will Christensen,0,,TRUE
Cochise,President,,IAP,Will Christensen,0,,TRUE
Coconino,President,,IAP,Will Christensen,0,,TRUE
Gila,President,,IAP,Will Christensen,1,,TRUE
Graham,President,,IAP,Will Christensen,0,,TRUE
Greenlee,President,,IAP,Will Christensen,0,,TRUE
La Paz,President,,IAP,Will Christensen,0,,TRUE
Maricopa,President,,IAP,Will Christensen,5,,TRUE
Mohave,President,,IAP,Will Christensen,6,,TRUE
Navajo,President,,IAP,Will Christensen,0,,TRUE
Pima,President,,IAP,Will Christensen,0,,TRUE
Pinal,President,,IAP,Will Christensen,0,,TRUE
Santa Cruz,President,,IAP,Will Christensen,0,,TRUE
Yavapai,President,,IAP,Will Christensen,2,,TRUE
Yuma,President,,IAP,Will Christensen,0,,TRUE
,President,,IAP,Will Christensen,14,,TRUE
Apache,U.S. Senate,,DEM,Richard Carmona,16455,,
Cochise,U.S. Senate,,DEM,Richard Carmona,19736,,
Coconino,U.S. Senate,,DEM,Richard Carmona,28723,,
Gila,U.S. Senate,,DEM,Richard Carmona,8099,,
Graham,U.S. Senate,,DEM,Richard Carmona,3771,,
Greenlee,U.S. Senate,,DEM,Richard Carmona,1342,,
La Paz,U.S. Senate,,DEM,Richard Carmona,1961,,
Maricopa,U.S. Senate,,DEM,Richard Carmona,602809,,
Mohave,U.S. Senate,,DEM,Richard Carmona,20865,,
Navajo,U.S. Senate,,DEM,Richard Carmona,16881,,
Pima,U.S. Senate,,DEM,Richard Carmona,207578,,
Pinal,U.S. Senate,,DEM,Richard Carmona,45558,,
Santa Cruz,U.S. Senate,,DEM,Richard Carmona,9454,,
Yavapai,U.S. Senate,,DEM,Richard Carmona,34902,,
Yuma,U.S. Senate,,DEM,Richard Carmona,18408,,
,U.S. Senate,,DEM,Richard Carmona,1036542,,
Apache,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Cochise,U.S. Senate,,IND,Don Manspeaker,6,,TRUE
Coconino,U.S. Senate,,IND,Don Manspeaker,2,,TRUE
Gila,U.S. Senate,,IND,Don Manspeaker,1,,TRUE
Graham,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Greenlee,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
La Paz,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Maricopa,U.S. Senate,,IND,Don Manspeaker,10,,TRUE
Mohave,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Navajo,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Pima,U.S. Senate,,IND,Don Manspeaker,5,,TRUE
Pinal,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Santa Cruz,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Yavapai,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
Yuma,U.S. Senate,,IND,Don Manspeaker,0,,TRUE
,U.S. Senate,,IND,Don Manspeaker,24,,TRUE
Apache,U.S. Senate,,IND,Steven Watts,0,,TRUE
Cochise,U.S. Senate,,IND,Steven Watts,5,,TRUE
Coconino,U.S. Senate,,IND,Steven Watts,8,,TRUE
Gila,U.S. Senate,,IND,Steven Watts,4,,TRUE
Graham,U.S. Senate,,IND,Steven Watts,4,,TRUE
Greenlee,U.S. Senate,,IND,Steven Watts,0,,TRUE
La Paz,U.S. Senate,,IND,Steven Watts,0,,TRUE
Maricopa,U.S. Senate,,IND,Steven Watts,201,,TRUE
Mohave,U.S. Senate,,IND,Steven Watts,10,,TRUE
Navajo,U.S. Senate,,IND,Steven Watts,3,,TRUE
Pima,U.S. Senate,,IND,Steven Watts,29,,TRUE
Pinal,U.S. Senate,,IND,Steven Watts,8,,TRUE
Santa Cruz,U.S. Senate,,IND,Steven Watts,0,,TRUE
Yavapai,U.S. Senate,,IND,Steven Watts,17,,TRUE
Yuma,U.S. Senate,,IND,Steven Watts,1,,TRUE
,U.S. Senate,,IND,Steven Watts,290,,TRUE
Apache,U.S. Senate,,LBT,Marc Victor,1097,,
Cochise,U.S. Senate,,LBT,Marc Victor,2266,,
Coconino,U.S. Senate,,LBT,Marc Victor,2580,,
Gila,U.S. Senate,,LBT,Marc Victor,1135,,
Graham,U.S. Senate,,LBT,Marc Victor,570,,
Greenlee,U.S. Senate,,LBT,Marc Victor,205,,
La Paz,U.S. Senate,,LBT,Marc Victor,426,,
Maricopa,U.S. Senate,,LBT,Marc Victor,62546,,
Mohave,U.S. Senate,,LBT,Marc Victor,4822,,
Navajo,U.S. Senate,,LBT,Marc Victor,1631,,
Pima,U.S. Senate,,LBT,Marc Victor,12304,,
Pinal,U.S. Senate,,LBT,Marc Victor,5885,,
Santa Cruz,U.S. Senate,,LBT,Marc Victor,437,,
Yavapai,U.S. Senate,,LBT,Marc Victor,5114,,
Yuma,U.S. Senate,,LBT,Marc Victor,1091,,
,U.S. Senate,,LBT,Marc Victor,102109,,
Apache,U.S. Senate,,REP,Jeff Flake,7680,,
Cochise,U.S. Senate,,REP,Jeff Flake,26208,,
Coconino,U.S. Senate,,REP,Jeff Flake,19334,,
Gila,U.S. Senate,,REP,Jeff Flake,11954,,
Graham,U.S. Senate,,REP,Jeff Flake,7352,,
Greenlee,U.S. Senate,,REP,Jeff Flake,1365,,
La Paz,U.S. Senate,,REP,Jeff Flake,3120,,
Maricopa,U.S. Senate,,REP,Jeff Flake,675500,,
Mohave,U.S. Senate,,REP,Jeff Flake,42410,,
Navajo,U.S. Senate,,REP,Jeff Flake,18228,,
Pima,U.S. Senate,,REP,Jeff Flake,153846,,
Pinal,U.S. Senate,,REP,Jeff Flake,55008,,
Santa Cruz,U.S. Senate,,REP,Jeff Flake,3617,,
Yavapai,U.S. Senate,,REP,Jeff Flake,57838,,
Yuma,U.S. Senate,,REP,Jeff Flake,20997,,
,U.S. Senate,,REP,Jeff Flake,1104457,TRUE,
Apache,U.S. House,1,DEM,Ann Kirkpatrick,17456,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,28627,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,4330,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,3812,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,1323,,
Maricopa,U.S. House,1,DEM,Ann Kirkpatrick,245,,
Mohave,U.S. House,1,DEM,Ann Kirkpatrick,195,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,17252,,
Pima,U.S. House,1,DEM,Ann Kirkpatrick,18849,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,24438,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,6247,,
,U.S. House,1,DEM,Ann Kirkpatrick,122774,TRUE,
Apache,U.S. House,1,LBT,Kim Allen,1253,,
Coconino,U.S. House,1,LBT,Kim Allen,3237,,
Gila,U.S. House,1,LBT,Kim Allen,766,,
Graham,U.S. House,1,LBT,Kim Allen,897,,
Greenlee,U.S. House,1,LBT,Kim Allen,282,,
Maricopa,U.S. House,1,LBT,Kim Allen,47,,
Mohave,U.S. House,1,LBT,Kim Allen,27,,
Navajo,U.S. House,1,LBT,Kim Allen,2441,,
Pima,U.S. House,1,LBT,Kim Allen,1051,,
Pinal,U.S. House,1,LBT,Kim Allen,4237,,
Yavapai,U.S. House,1,LBT,Kim Allen,989,,
,U.S. House,1,LBT,Kim Allen,15227,,
Apache,U.S. House,1,REP,Jonathan Paton,6612,,
Coconino,U.S. House,1,REP,Jonathan Paton,18405,,
Gila,U.S. House,1,REP,Jonathan Paton,2943,,
Graham,U.S. House,1,REP,Jonathan Paton,6793,,
Greenlee,U.S. House,1,REP,Jonathan Paton,1249,,
Maricopa,U.S. House,1,REP,Jonathan Paton,47,,
Mohave,U.S. House,1,REP,Jonathan Paton,84,,
Navajo,U.S. House,1,REP,Jonathan Paton,16642,,
Pima,U.S. House,1,REP,Jonathan Paton,26699,,
Pinal,U.S. House,1,REP,Jonathan Paton,27558,,
Yavapai,U.S. House,1,REP,Jonathan Paton,6562,,
,U.S. House,1,REP,Jonathan Paton,113594,,
Cochise,U.S. House,2,DEM,Ron Barber,19815,,
Pima,U.S. House,2,DEM,Ron Barber,127523,,
,U.S. House,2,DEM,Ron Barber,147338,TRUE,
Cochise,U.S. House,2,LBT,Anthony Prowell,16,,TRUE
Pima,U.S. House,2,LBT,Anthony Prowell,41,,TRUE
,U.S. House,2,LBT,Anthony Prowell,57,,TRUE
Cochise,U.S. House,2,REP,Martha McSally,28242,,
Pima,U.S. House,2,REP,Martha McSally,116642,,
,U.S. House,2,REP,Martha McSally,144884,,
Maricopa,U.S. House,3,DEM,Raul M. Grijalva,27296,,
Pima,U.S. House,3,DEM,Raul M. Grijalva,50621,,
Pinal,U.S. House,3,DEM,Raul M. Grijalva,109,,
Santa Cruz,U.S. House,3,DEM,Raul M. Grijalva,8739,,
Yuma,U.S. House,3,DEM,Raul M. Grijalva,11703,,
,U.S. House,3,DEM,Raul M. Grijalva,98468,TRUE,
Maricopa,U.S. House,3,LBT,Blanca Guerra,2545,,
Pima,U.S. House,3,LBT,Blanca Guerra,3546,,
Pinal,U.S. House,3,LBT,Blanca Guerra,2,,
Santa Cruz,U.S. House,3,LBT,Blanca Guerra,525,,
Yuma,U.S. House,3,LBT,Blanca Guerra,949,,
,U.S. House,3,LBT,Blanca Guerra,7567,,
Maricopa,U.S. House,3,REP,Gabriela Saucedo Mercer,22721,,
Pima,U.S. House,3,REP,Gabriela Saucedo Mercer,26085,,
Pinal,U.S. House,3,REP,Gabriela Saucedo Mercer,9,,
Santa Cruz,U.S. House,3,REP,Gabriela Saucedo Mercer,4203,,
Yuma,U.S. House,3,REP,Gabriela Saucedo Mercer,9645,,
,U.S. House,3,REP,Gabriela Saucedo Mercer,62663,,
Gila,U.S. House,4,AEL,Richard Grayson,84,,
La Paz,U.S. House,4,AEL,Richard Grayson,82,,
Maricopa,U.S. House,4,AEL,Richard Grayson,97,,
Mohave,U.S. House,4,AEL,Richard Grayson,716,,
Pinal,U.S. House,4,AEL,Richard Grayson,374,,
Yavapai,U.S. House,4,AEL,Richard Grayson,898,,
Yuma,U.S. House,4,AEL,Richard Grayson,142,,
,U.S. House,4,AEL,Richard Grayson,2393,,
Gila,U.S. House,4,DEM,Johnnie Robinson,2950,,
La Paz,U.S. House,4,DEM,Johnnie Robinson,1615,,
Maricopa,U.S. House,4,DEM,Johnnie Robinson,3750,,
Mohave,U.S. House,4,DEM,Johnnie Robinson,17136,,
Pinal,U.S. House,4,DEM,Johnnie Robinson,15752,,
Yavapai,U.S. House,4,DEM,Johnnie Robinson,23002,,
Yuma,U.S. House,4,DEM,Johnnie Robinson,4949,,
,U.S. House,4,DEM,Johnnie Robinson,69154,,
Gila,U.S. House,4,LBT,Joe Pamelia,435,,
La Paz,U.S. House,4,LBT,Joe Pamelia,226,,
Maricopa,U.S. House,4,LBT,Joe Pamelia,540,,
Mohave,U.S. House,4,LBT,Joe Pamelia,2706,,
Pinal,U.S. House,4,LBT,Joe Pamelia,1757,,
Yavapai,U.S. House,4,LBT,Joe Pamelia,3102,,
Yuma,U.S. House,4,LBT,Joe Pamelia,540,,
,U.S. House,4,LBT,Joe Pamelia,9306,,
Gila,U.S. House,4,REP,Paul Gosar,9165,,
La Paz,U.S. House,4,REP,Paul Gosar,3324,,
Maricopa,U.S. House,4,REP,Paul Gosar,9578,,
Mohave,U.S. House,4,REP,Paul Gosar,44892,,
Pinal,U.S. House,4,REP,Paul Gosar,29111,,
Yavapai,U.S. House,4,REP,Paul Gosar,54913,,
Yuma,U.S. House,4,REP,Paul Gosar,11924,,
,U.S. House,4,REP,Paul Gosar,162907,TRUE,
Maricopa,U.S. House,5,DEM,Spencer Morgan,89589,,
,U.S. House,5,DEM,Spencer Morgan,89589,,
Maricopa,U.S. House,5,REP,Matt Salmon,183470,,
,U.S. House,5,REP,Matt Salmon,183470,TRUE,
Maricopa,U.S. House,6,DEM,Matt Jette,97666,,
,U.S. House,6,DEM,Matt Jette,97666,,
Maricopa,U.S. House,6,GRN,Mark Salazar,5637,,
,U.S. House,6,GRN,Mark Salazar,5637,,
Maricopa,U.S. House,6,LBT,Jack Anderson,10167,,
,U.S. House,6,LBT,Jack Anderson,10167,,
Maricopa,U.S. House,6,NONE,James Ketover,1,,
,U.S. House,6,NONE,James Ketover,1,,
Maricopa,U.S. House,6,REP,David Schweikert,179706,,
,U.S. House,6,REP,David Schweikert,179706,TRUE,
Maricopa,U.S. House,7,DEM,Ed Pastor,104489,,
,U.S. House,7,DEM,Ed Pastor,104489,TRUE,
Maricopa,U.S. House,7,LBT,Joe Cobb,23338,,
,U.S. House,7,LBT,Joe Cobb,23338,,
Maricopa,U.S. House,8,AEL,Stephen Dolgos,4347,,
,U.S. House,8,AEL,Stephen Dolgos,4347,,
Maricopa,U.S. House,8,DEM,Gene Scharer,95635,,
,U.S. House,8,DEM,Gene Scharer,95635,,
Maricopa,U.S. House,8,REP,Trent Franks,172809,,
,U.S. House,8,REP,Trent Franks,172809,TRUE,
Maricopa,U.S. House,9,DEM,Kyrsten Sinema,121881,,
,U.S. House,9,DEM,Kyrsten Sinema,121881,TRUE,
Maricopa,U.S. House,9,LBT,Powell Gammill,16620,,
,U.S. House,9,LBT,Powell Gammill,16620,,
Maricopa,U.S. House,9,REP,Vernon B. Parker,111630,,
,U.S. House,9,REP,Vernon B. Parker,111630,,
Maricopa,State Senate,1,IND,Tom Rawles,7719,,
Maricopa,State Senate,1,REP,Steve Pierce,19640,,
Yavapai,State Senate,1,IND,Tom Rawles,18937,,
Yavapai,State Senate,1,REP,Steve Pierce,46348,,
,State Senate,1,IND,Tom Rawles,26656,,
,State Senate,1,REP,Steve Pierce,65988,TRUE,
Pima,State Senate,2,DEM,Linda Lopez,30313,,
Pima,State Senate,2,REP,Don Woolley,1072,,TRUE
Santa Cruz,State Senate,2,DEM,Linda Lopez,9277,,
Santa Cruz,State Senate,2,REP,Don Woolley,191,,TRUE
,State Senate,2,DEM,Linda Lopez,39590,TRUE,
,State Senate,2,REP,Don Woolley,1263,,TRUE
Pima,State Senate,3,DEM,Olivia Cajero Bedford,43084,,
,State Senate,3,DEM,Olivia Cajero Bedford,43084,TRUE,
Maricopa,State Senate,4,DEM,Lynne Pancrazi,9676,,
Pima,State Senate,4,DEM,Lynne Pancrazi,6524,,
Pinal,State Senate,4,DEM,Lynne Pancrazi,103,,
Yuma,State Senate,4,DEM,Lynne Pancrazi,13520,,
,State Senate,4,DEM,Lynne Pancrazi,29823,TRUE,
La Paz,State Senate,5,DEM,Beth Weisser,1761,,
La Paz,State Senate,5,REP,Kelli Ward,3493,,
Mohave,State Senate,5,DEM,Beth Weisser,18279,,
Mohave,State Senate,5,REP,Kelli Ward,46120,,
,State Senate,5,DEM,Beth Weisser,20040,,
,State Senate,5,REP,Kelli Ward,49613,TRUE,
Coconino,State Senate,6,DEM,Tom Chabin,21678,,
Coconino,State Senate,6,REP,Chester Crandell,14779,,
Gila,State Senate,6,DEM,Tom Chabin,3655,,
Gila,State Senate,6,REP,Chester Crandell,8552,,
Navajo,State Senate,6,DEM,Tom Chabin,2544,,
Navajo,State Senate,6,REP,Chester Crandell,8114,,
Yavapai,State Senate,6,DEM,Tom Chabin,12056,,
Yavapai,State Senate,6,REP,Chester Crandell,13660,,
,State Senate,6,DEM,Tom Chabin,39933,,
,State Senate,6,REP,Chester Crandell,45105,TRUE,
Apache,State Senate,7,DEM,"Jack C. Jackson, Jr.",19709,,
Coconino,State Senate,7,DEM,"Jack C. Jackson, Jr.",10275,,
Gila,State Senate,7,DEM,"Jack C. Jackson, Jr.",1269,,
Graham,State Senate,7,DEM,"Jack C. Jackson, Jr.",961,,
Mohave,State Senate,7,DEM,"Jack C. Jackson, Jr.",201,,
Navajo,State Senate,7,DEM,"Jack C. Jackson, Jr.",17224,,
Pinal,State Senate,7,DEM,"Jack C. Jackson, Jr.",0,,
,State Senate,7,DEM,"Jack C. Jackson, Jr.",49639,TRUE,
Gila,State Senate,8,DEM,Barbara McGuire,3532,,
Gila,State Senate,8,LBT,Dean Dill,383,,
Pinal,State Senate,8,DEM,Barbara McGuire,21494,,
Pinal,State Senate,8,LBT,Dean Dill,2187,,
,State Senate,8,DEM,Barbara McGuire,25026,TRUE,
,State Senate,8,LBT,Dean Dill,2570,,
Gila,State Senate,8,REP,Joe Ortiz,2303,,
Pinal,State Senate,8,REP,Joe Ortiz,21239,,
,State Senate,8,REP,Joe Ortiz,23542,,
Pima,State Senate,9,DEM,Steve Farley,49818,,
Pima,State Senate,9,REP,Tyler Mott,39562,,
,State Senate,9,DEM,Steve Farley,49818,TRUE,
,State Senate,9,REP,Tyler Mott,39562,,
Pima,State Senate,10,DEM,David Bradley,48509,,
Pima,State Senate,10,REP,Frank Antenori,40193,,
,State Senate,10,DEM,David Bradley,48509,TRUE,
,State Senate,10,REP,Frank Antenori,40193,,
Pima,State Senate,11,DEM,Jo Holt,24281,,
Pima,State Senate,11,REP,Al Melvin,32042,,
Pinal,State Senate,11,DEM,Jo Holt,13147,,
Pinal,State Senate,11,REP,Al Melvin,16325,,
,State Senate,11,DEM,Jo Holt,37428,,
,State Senate,11,REP,Al Melvin,48367,TRUE,
Maricopa,State Senate,12,REP,Andy Biggs,63296,,
Pinal,State Senate,12,REP,Andy Biggs,516,,
,State Senate,12,REP,Andy Biggs,63812,TRUE,
Maricopa,State Senate,13,REP,Don Shooter,31892,,
Yavapai,State Senate,13,REP,Don Shooter,0,,
Yuma,State Senate,13,REP,Don Shooter,16240,,
,State Senate,13,REP,Don Shooter,48132,TRUE,
Cochise,State Senate,14,DEM,Patricia V. Fleming,19068,,
Cochise,State Senate,14,REP,Gail Griffin,28185,,
Graham,State Senate,14,DEM,Patricia V. Fleming,2877,,
Graham,State Senate,14,REP,Gail Griffin,7363,,
Greenlee,State Senate,14,DEM,Patricia V. Fleming,1410,,
Greenlee,State Senate,14,REP,Gail Griffin,1349,,
Pima,State Senate,14,DEM,Patricia V. Fleming,7453,,
Pima,State Senate,14,REP,Gail Griffin,12750,,
,State Senate,14,DEM,Patricia V. Fleming,30808,,
,State Senate,14,REP,Gail Griffin,49647,TRUE,
Maricopa,State Senate,15,LBT,Dennis Grenier,21384,,
Maricopa,State Senate,15,REP,Nancy Barto,58213,,
,State Senate,15,LBT,Dennis Grenier,21384,,
,State Senate,15,REP,Nancy Barto,58213,TRUE,
Maricopa,State Senate,16,DEM,Scott Prior,16100,,
Maricopa,State Senate,16,REP,Rich Crandall,29134,,
Pinal,State Senate,16,DEM,Scott Prior,9453,,
Pinal,State Senate,16,REP,Rich Crandall,16452,,
,State Senate,16,DEM,Scott Prior,25553,,
,State Senate,16,REP,Rich Crandall,45586,TRUE,
Maricopa,State Senate,17,DEM,Bill Gates,36349,,
Maricopa,State Senate,17,REP,Steve Yarbrough,48581,,
,State Senate,17,DEM,Bill Gates,36349,,
,State Senate,17,REP,Steve Yarbrough,48581,TRUE,
Maricopa,State Senate,18,DEM,Janie Hydrick,45115,,
Maricopa,State Senate,18,REP,John McComish,51084,,
,State Senate,18,DEM,Janie Hydrick,45115,,
,State Senate,18,REP,John McComish,51084,TRUE,
Maricopa,State Senate,19,DEM,Anna Tovar,31473,,
,State Senate,19,DEM,Anna Tovar,31473,TRUE,
Maricopa,State Senate,20,DEM,Michael Powell,26987,,
Maricopa,State Senate,20,IND,Doug 'Q' Quelland,8829,,
Maricopa,State Senate,20,REP,Kimberly Yee,37371,,
,State Senate,20,DEM,Michael Powell,26987,,
,State Senate,20,IND,Doug 'Q' Quelland,8829,,
,State Senate,20,REP,Kimberly Yee,37371,TRUE,
Maricopa,State Senate,21,DEM,Michael Tarrats,30087,,
Maricopa,State Senate,21,REP,Rick Murphy,44369,,
,State Senate,21,DEM,Michael Tarrats,30087,,
,State Senate,21,REP,Rick Murphy,44369,TRUE,
Maricopa,State Senate,22,REP,Judy M. Burges,72211,,
,State Senate,22,REP,Judy M. Burges,72211,TRUE,
Maricopa,State Senate,23,REP,Michele Reagan,82278,,
,State Senate,23,REP,Michele Reagan,82278,,
Maricopa,State Senate,24,DEM,Katie Hobbs,38142,,
Maricopa,State Senate,24,REP,"Augustine ""Auggie"" Bartning",19326,,
,State Senate,24,DEM,Katie Hobbs,38142,TRUE,
,State Senate,24,REP,"Augustine ""Auggie"" Bartning",19326,,
Maricopa,State Senate,25,DEM,Greg Gadek,27720,,
Maricopa,State Senate,25,REP,Bob Worsley,55290,,
,State Senate,25,DEM,Greg Gadek,27720,,
,State Senate,25,REP,Bob Worsley,55290,TRUE,
Maricopa,State Senate,26,DEM,Ed Ableser,26051,,
Maricopa,State Senate,26,LBT,Damian Trabel,2747,,
