county,precinct,office,district,candidate,party,votes,election_day,early_voting,provisional
La Paz,051 Parker,Registered Voters,,,,3409,,,
La Paz,051 Parker,Ballots Cast,,,,2228,725,1264,239
La Paz,051 Parker,Ballots Cast Blank,,,,0,0,0,0
La Paz,051 Parker,President,,Donald J. Trump,REP,1161,407,634,120
La Paz,051 Parker,President,,Joseph R. Biden,DEM,1000,298,593,109
La Paz,051 Parker,President,,Jo Jorgensen,LBT,41,14,20,7
La Paz,051 Parker,President,,Write-in,,5,2,3,0
La Paz,051 Parker,U.S. Senate,,"McSally, Martha",REP,1096,387,591,118
La Paz,051 Parker,U.S. Senate,,"Kelly, Mark",DEM,1068,316,640,112
La Paz,051 Parker,U.S. Senate,,Write-in,,3,1,2,0
La Paz,051 Parker,U.S. House,4,"Gosar, Paul",REP,1210,427,657,126
La Paz,051 Parker,U.S. House,4,"Disanto, Delina",DEM,874,254,531,89
La Paz,051 Parker,U.S. House,4,Write-in,,5,1,3,1
La Paz,051 Parker,State Senate,5,"Borrelli, Sonny",REP,1665,576,915,174
La Paz,051 Parker,State Senate,5,Write-in,,58,9,46,3
La Paz,051 Parker,State House,5,"Cobb, Regina",REP,1364,443,787,134
La Paz,051 Parker,State House,5,"Biasiucci, Leo",REP,1226,404,703,119
La Paz,051 Parker,State House,5,Write-in,,42,12,28,2
La Paz,051 Parker,Corporation Commissioner,,"O'Connor, James ""Jim""",REP,903,310,511,82
La Paz,051 Parker,Corporation Commissioner,,"Marquez, Peterson, Lea",REP,886,278,525,83
La Paz,051 Parker,Corporation Commissioner,,"Tovar, Anna",DEM,856,244,531,81
La Paz,051 Parker,Corporation Commissioner,,"Sloan, Eric",REP,790,251,471,68
La Paz,051 Parker,Corporation Commissioner,,"Mundell, William ""Bill""",DEM,722,190,461,71
La Paz,051 Parker,Corporation Commissioner,,"Stanfield, Shea",DEM,659,181,417,61
La Paz,051 Parker,Corporation Commissioner,,Write-in,,10,3,5,2
La Paz,052 Poston,Registered Voters,,,,401,,,
La Paz,052 Poston,Ballots Cast,,,,251,112,125,14
La Paz,052 Poston,Ballots Cast Blank,,,,0,0,0,0
La Paz,052 Poston,President,,Joseph R. Biden,DEM,167,72,89,6
La Paz,052 Poston,President,,Donald J. Trump,REP,73,34,32,7
La Paz,052 Poston,President,,Jo Jorgensen,LBT,9,5,3,1
La Paz,052 Poston,President,,Write-in,,0,0,0,0
La Paz,052 Poston,U.S. Senate,,"Kelly, Mark",DEM,174,79,87,8
La Paz,052 Poston,U.S. Senate,,"McSally, Martha",REP,72,32,34,6
La Paz,052 Poston,U.S. Senate,,Write-in,,0,0,0,0
La Paz,052 Poston,U.S. House,4,"Disanto, Delina",DEM,154,62,85,7
La Paz,052 Poston,U.S. House,4,"Gosar, Paul",REP,87,45,35,7
La Paz,052 Poston,U.S. House,4,Write-in,,3,2,1,0
La Paz,052 Poston,State Senate,5,"Borrelli, Sonny",REP,171,88,71,12
La Paz,052 Poston,State Senate,5,Write-in,,9,7,2,0
La Paz,052 Poston,State House,5,"Cobb, Regina",REP,151,79,60,12
La Paz,052 Poston,State House,5,"Biasiucci, Leo",REP,127,69,53,5
La Paz,052 Poston,State House,5,Write-in,,6,3,3,0
