county,precinct,office,district,party,candidate,votes,early,provisional,election_day
Greenlee,001 EAGLE,Presidential Elector,,REP,"TRUMP, PENCE",14,14,0,0
Greenlee,002 BLUE,Presidential Elector,,REP,"TRUMP, PENCE",23,16,0,7
Greenlee,003 CLIFTON 1,Presidential Elector,,REP,"TRUMP, PENCE",400,254,3,143
Greenlee,004 CLIFTON 2,Presidential Elector,,REP,"TRUMP, PENCE",227,171,1,55
Greenlee,005 MORENCI,Presidential Elector,,REP,"TRUMP, PENCE",594,328,9,257
Greenlee,006 EAST PLANTSITE,Presidential Elector,,REP,"TRUMP, PENCE",152,71,0,81
Greenlee,007 YORK/SHELDON,Presidential Elector,,REP,"TRUMP, PENCE",433,311,1,121
Greenlee,008 DUNCAN,Presidential Elector,,REP,"TRUMP, PENCE",590,406,8,176
Greenlee,001 EAGLE,Presidential Elector,,DEM,"BIDEN, HARRIS",1,0,0,1
Greenlee,002 BLUE,Presidential Elector,,DEM,"BIDEN, HARRIS",2,1,0,1
Greenlee,003 CLIFTON 1,Presidential Elector,,DEM,"BIDEN, HARRIS",329,274,0,55
Greenlee,004 CLIFTON 2,Presidential Elector,,DEM,"BIDEN, HARRIS",226,210,0,16
Greenlee,005 MORENCI,Presidential Elector,,DEM,"BIDEN, HARRIS",278,213,1,64
Greenlee,006 EAST PLANTSITE,Presidential Elector,,DEM,"BIDEN, HARRIS",46,40,0,6
Greenlee,007 YORK/SHELDON,Presidential Elector,,DEM,"BIDEN, HARRIS",157,137,0,20
Greenlee,008 DUNCAN,Presidential Elector,,DEM,"BIDEN, HARRIS",143,121,1,21
Greenlee,001 EAGLE,Presidential Elector,,LBT,"JORGENSEN, COHEN",0,0,0,0
Greenlee,002 BLUE,Presidential Elector,,LBT,"JORGENSEN, COHEN",0,0,0,0
Greenlee,003 CLIFTON 1,Presidential Elector,,LBT,"JORGENSEN, COHEN",16,12,0,4
Greenlee,004 CLIFTON 2,Presidential Elector,,LBT,"JORGENSEN, COHEN",6,5,0,1
Greenlee,005 MORENCI,Presidential Elector,,LBT,"JORGENSEN, COHEN",17,12,1,4
Greenlee,006 EAST PLANTSITE,Presidential Elector,,LBT,"JORGENSEN, COHEN",6,3,0,3
Greenlee,007 YORK/SHELDON,Presidential Elector,,LBT,"JORGENSEN, COHEN",10,7,0,3
Greenlee,008 DUNCAN,Presidential Elector,,LBT,"JORGENSEN, COHEN",15,12,2,1
Greenlee,001 EAGLE,U.S. Senator,,REP,"MCSALLY, MARTHA",14,14,0,0
Greenlee,002 BLUE,U.S. Senator,,REP,"MCSALLY, MARTHA",24,16,0,8
Greenlee,003 CLIFTON 1,U.S. Senator,,REP,"MCSALLY, MARTHA",347,215,3,129
Greenlee,004 CLIFTON 2,U.S. Senator,,REP,"MCSALLY, MARTHA",208,160,1,47
Greenlee,005 MORENCI,U.S. Senator,,REP,"MCSALLY, MARTHA",555,302,9,244
Greenlee,006 EAST PLANTSITE,U.S. Senator,,REP,"MCSALLY, MARTHA",143,66,0,77
Greenlee,007 YORK/SHELDON,U.S. Senator,,REP,"MCSALLY, MARTHA",400,281,1,118
Greenlee,008 DUNCAN,U.S. Senator,,REP,"MCSALLY, MARTHA",534,368,7,159
Greenlee,001 EAGLE,U.S. Senator,,DEM,"KELLY, MARK",1,0,0,1
Greenlee,002 BLUE,U.S. Senator,,DEM,"KELLY, MARK",1,1,0,0
Greenlee,003 CLIFTON 1,U.S. Senator,,DEM,"KELLY, MARK",389,315,0,74
Greenlee,004 CLIFTON 2,U.S. Senator,,DEM,"KELLY, MARK",238,213,0,25
Greenlee,005 MORENCI,U.S. Senator,,DEM,"KELLY, MARK",324,242,2,80
Greenlee,006 EAST PLANTSITE,U.S. Senator,,DEM,"KELLY, MARK",57,45,0,12
Greenlee,007 YORK/SHELDON,U.S. Senator,,DEM,"KELLY, MARK",189,165,0,24
Greenlee,008 DUNCAN,U.S. Senator,,DEM,"KELLY, MARK",204,169,4,31
Greenlee,001 EAGLE,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",15,14,0,1
Greenlee,002 BLUE,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",23,16,0,7
Greenlee,003 CLIFTON 1,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",356,219,3,134
Greenlee,004 CLIFTON 2,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",211,160,1,50
Greenlee,005 MORENCI,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",561,308,8,245
Greenlee,006 EAST PLANTSITE,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",142,64,0,78
Greenlee,007 YORK/SHELDON,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",382,263,1,118
Greenlee,008 DUNCAN,U.S. Representative in Congress Dist 1,,REP,"SHEDD, TIFFANY",536,365,8,163
Greenlee,001 EAGLE,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",0,0,0,0
Greenlee,002 BLUE,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",2,1,0,1
Greenlee,003 CLIFTON 1,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",381,312,0,69
Greenlee,004 CLIFTON 2,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",236,215,0,21
Greenlee,005 MORENCI,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",302,226,3,73
Greenlee,006 EAST PLANTSITE,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",59,49,0,10
Greenlee,007 YORK/SHELDON,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",204,179,0,25
Greenlee,008 DUNCAN,U.S. Representative in Congress Dist 1,,DEM,"O'HALLERAN, TOM",196,162,3,31
Greenlee,001 EAGLE,State Senator Dist. 14,,REP,"GOWAN, DAVID",15,14,0,1
Greenlee,002 BLUE,State Senator Dist. 14,,REP,"GOWAN, DAVID",22,16,0,6
Greenlee,003 CLIFTON 1,State Senator Dist. 14,,REP,"GOWAN, DAVID",371,229,3,139
Greenlee,004 CLIFTON 2,State Senator Dist. 14,,REP,"GOWAN, DAVID",221,168,1,52
Greenlee,005 MORENCI,State Senator Dist. 14,,REP,"GOWAN, DAVID",575,310,10,255
Greenlee,006 EAST PLANTSITE,State Senator Dist. 14,,REP,"GOWAN, DAVID",149,71,0,78
Greenlee,007 YORK/SHELDON,State Senator Dist. 14,,REP,"GOWAN, DAVID",416,297,1,118
Greenlee,008 DUNCAN,State Senator Dist. 14,,REP,"GOWAN, DAVID",556,381,9,166
Greenlee,001 EAGLE,State Senator Dist. 14,,DEM,"KARP, BOB",0,0,0,0
Greenlee,002 BLUE,State Senator Dist. 14,,DEM,"KARP, BOB",2,1,0,1
Greenlee,003 CLIFTON 1,State Senator Dist. 14,,DEM,"KARP, BOB",353,292,0,61
Greenlee,004 CLIFTON 2,State Senator Dist. 14,,DEM,"KARP, BOB",223,204,0,19
Greenlee,005 MORENCI,State Senator Dist. 14,,DEM,"KARP, BOB",280,213,1,66
Greenlee,006 EAST PLANTSITE,State Senator Dist. 14,,DEM,"KARP, BOB",55,43,0,12
Greenlee,007 YORK/SHELDON,State Senator Dist. 14,,DEM,"KARP, BOB",171,147,0,24
Greenlee,008 DUNCAN,State Senator Dist. 14,,DEM,"KARP, BOB",165,137,2,26
Greenlee,001 EAGLE,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",15,14,0,1
Greenlee,002 BLUE,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",23,17,0,6
Greenlee,003 CLIFTON 1,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",310,174,3,133
Greenlee,004 CLIFTON 2,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",205,161,1,43
Greenlee,005 MORENCI,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",513,275,8,230
Greenlee,006 EAST PLANTSITE,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",133,61,0,72
Greenlee,007 YORK/SHELDON,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",364,251,1,112
Greenlee,008 DUNCAN,State Representative Dist. 14,,REP,"GRIFFIN, GAIL",514,348,7,159
Greenlee,001 EAGLE,State Representative Dist. 14,,REP,"NUTT, BECKY",14,13,0,1
Greenlee,002 BLUE,State Representative Dist. 14,,REP,"NUTT, BECKY",21,14,0,7
Greenlee,003 CLIFTON 1,State Representative Dist. 14,,REP,"NUTT, BECKY",361,223,3,135
Greenlee,004 CLIFTON 2,State Representative Dist. 14,,REP,"NUTT, BECKY",233,181,1,51
Greenlee,005 MORENCI,State Representative Dist. 14,,REP,"NUTT, BECKY",522,273,10,239
Greenlee,006 EAST PLANTSITE,State Representative Dist. 14,,REP,"NUTT, BECKY",134,60,0,74
Greenlee,007 YORK/SHELDON,State Representative Dist. 14,,REP,"NUTT, BECKY",399,277,1,121
Greenlee,008 DUNCAN,State Representative Dist. 14,,REP,"NUTT, BECKY",523,353,9,161
Greenlee,001 EAGLE,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",0,0,0,0
Greenlee,002 BLUE,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",0,0,0,0
Greenlee,003 CLIFTON 1,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",267,219,0,48
Greenlee,004 CLIFTON 2,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",168,149,0,19
Greenlee,005 MORENCI,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",253,177,2,74
Greenlee,006 EAST PLANTSITE,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",45,32,0,13
Greenlee,007 YORK/SHELDON,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",141,123,0,18
Greenlee,008 DUNCAN,State Representative Dist. 14,,DEM,"BEACH - MOSCHETTI, KIMBERLY ""KIM""",148,119,3,26
Greenlee,001 EAGLE,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",0,0,0,0
Greenlee,002 BLUE,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",2,1,0,1
Greenlee,003 CLIFTON 1,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",328,267,0,61
Greenlee,004 CLIFTON 2,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",184,165,0,19
Greenlee,005 MORENCI,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",230,167,1,62
Greenlee,006 EAST PLANTSITE,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",49,35,0,14
Greenlee,007 YORK/SHELDON,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",147,129,0,18
Greenlee,008 DUNCAN,State Representative Dist. 14,,DEM,"MAESTAS-CONDOS, RONNIE",134,110,1,23
Greenlee,001 EAGLE,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",13,13,0,0
Greenlee,002 BLUE,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",22,16,0,6
Greenlee,003 CLIFTON 1,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",323,186,3,134
Greenlee,004 CLIFTON 2,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",204,156,1,47
Greenlee,005 MORENCI,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",482,246,8,228
Greenlee,006 EAST PLANTSITE,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",125,52,0,73
Greenlee,007 YORK/SHELDON,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",341,230,1,110
Greenlee,008 DUNCAN,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",475,315,8,152
Greenlee,001 EAGLE,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",14,13,0,1
Greenlee,002 BLUE,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",20,15,0,5
Greenlee,003 CLIFTON 1,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",296,166,3,127
Greenlee,004 CLIFTON 2,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",181,137,1,43
Greenlee,005 MORENCI,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",501,253,9,239
Greenlee,006 EAST PLANTSITE,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",135,63,0,72
Greenlee,007 YORK/SHELDON,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",346,237,1,108
Greenlee,008 DUNCAN,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",500,339,8,153
Greenlee,001 EAGLE,Corporation Commissioner,,REP,"SLOAN, ERIC",14,13,0,1
Greenlee,002 BLUE,Corporation Commissioner,,REP,"SLOAN, ERIC",17,13,0,4
Greenlee,003 CLIFTON 1,Corporation Commissioner,,REP,"SLOAN, ERIC",283,161,3,119
Greenlee,004 CLIFTON 2,Corporation Commissioner,,REP,"SLOAN, ERIC",178,136,1,41
Greenlee,005 MORENCI,Corporation Commissioner,,REP,"SLOAN, ERIC",493,251,7,235
Greenlee,006 EAST PLANTSITE,Corporation Commissioner,,REP,"SLOAN, ERIC",131,56,0,75
Greenlee,007 YORK/SHELDON,Corporation Commissioner,,REP,"SLOAN, ERIC",333,232,1,100
Greenlee,008 DUNCAN,Corporation Commissioner,,REP,"SLOAN, ERIC",475,322,6,147
Greenlee,001 EAGLE,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",0,0,0,0
Greenlee,002 BLUE,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",2,1,0,1
Greenlee,003 CLIFTON 1,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",308,254,0,54
Greenlee,004 CLIFTON 2,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",178,156,0,22
Greenlee,005 MORENCI,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",227,158,2,67
Greenlee,006 EAST PLANTSITE,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",47,33,0,14
Greenlee,007 YORK/SHELDON,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",161,138,0,23
Greenlee,008 DUNCAN,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",135,108,2,25
Greenlee,001 EAGLE,Corporation Commissioner,,DEM,"STANFIELD, SHEA",0,0,0,0
Greenlee,002 BLUE,Corporation Commissioner,,DEM,"STANFIELD, SHEA",2,1,0,1
Greenlee,003 CLIFTON 1,Corporation Commissioner,,DEM,"STANFIELD, SHEA",279,226,0,53
Greenlee,004 CLIFTON 2,Corporation Commissioner,,DEM,"STANFIELD, SHEA",166,147,0,19
Greenlee,005 MORENCI,Corporation Commissioner,,DEM,"STANFIELD, SHEA",221,153,2,66
Greenlee,006 EAST PLANTSITE,Corporation Commissioner,,DEM,"STANFIELD, SHEA",41,29,0,12
Greenlee,007 YORK/SHELDON,Corporation Commissioner,,DEM,"STANFIELD, SHEA",136,119,0,17
Greenlee,008 DUNCAN,Corporation Commissioner,,DEM,"STANFIELD, SHEA",134,109,3,22
Greenlee,001 EAGLE,Corporation Commissioner,,DEM,"TOVAR, ANNA",1,0,0,1
Greenlee,002 BLUE,Corporation Commissioner,,DEM,"TOVAR, ANNA",6,3,0,3
Greenlee,003 CLIFTON 1,Corporation Commissioner,,DEM,"TOVAR, ANNA",336,276,0,60
Greenlee,004 CLIFTON 2,Corporation Commissioner,,DEM,"TOVAR, ANNA",204,181,0,23
Greenlee,005 MORENCI,Corporation Commissioner,,DEM,"TOVAR, ANNA",285,206,3,76
Greenlee,006 EAST PLANTSITE,Corporation Commissioner,,DEM,"TOVAR, ANNA",49,37,0,12
Greenlee,007 YORK/SHELDON,Corporation Commissioner,,DEM,"TOVAR, ANNA",163,139,0,24
Greenlee,008 DUNCAN,Corporation Commissioner,,DEM,"TOVAR, ANNA",167,132,2,33
Greenlee,003 CLIFTON 1,Board of Supervisors Dist. 1,,DEM,"GOMEZ, DAVID",236,195,1,40
Greenlee,004 CLIFTON 2,Board of Supervisors Dist. 1,,DEM,"GOMEZ, DAVID",181,164,0,17
Greenlee,003 CLIFTON 1,Board of Supervisors Dist. 1,,IND,"BRINKLEY, JACOB",110,62,1,47
Greenlee,004 CLIFTON 2,Board of Supervisors Dist. 1,,IND,"BRINKLEY, JACOB",75,56,1,18
