county,precinct,office,district,candidate,party,votes,election_day,early_voting,provisional
Cochise,01 BE Benson,Registered Voters,,,,1761,,,
Cochise,01 BE Benson,Ballots Cast,,,,1424,234,1039,151
Cochise,01 BE Benson,Ballots Cast Blank,,,,0,0,0,0
Cochise,01 BE Benson,President,,Trump / Pence,REP,958,207,630,121
Cochise,01 BE Benson,President,,Biden / Harris,DEM,442,24,394,24
Cochise,01 BE Benson,President,,Jorgensen / Cohen,LBT,16,1,9,6
Cochise,01 BE Benson,President,,Write-In,,3,1,2,0
Cochise,01 BE Benson,President,,Overvotes,,0,0,0,0
Cochise,01 BE Benson,President,,Undervotes,,5,1,4,0
Cochise,01 BE Benson,U.S. Senate,,"McSally, Martha",REP,936,202,610,124
Cochise,01 BE Benson,U.S. Senate,,"Kelly, Mark",DEM,467,31,411,25
Cochise,01 BE Benson,U.S. Senate,,Write-In,,6,1,5,0
Cochise,01 BE Benson,U.S. Senate,,Overvotes,,0,0,0,0
Cochise,01 BE Benson,U.S. Senate,,Undervotes,,15,0,13,2
Cochise,01 BE Benson,U.S. House,2,"Martin, Brandon",REP,908,196,593,119
Cochise,01 BE Benson,U.S. House,2,"Kirkpatrick, Ann",DEM,471,36,404,31
Cochise,01 BE Benson,U.S. House,2,Write-In,,4,0,4,0
Cochise,01 BE Benson,U.S. House,2,Overvotes,,1,0,1,0
Cochise,01 BE Benson,U.S. House,2,Undervotes,,40,2,37,1
Cochise,01 BE Benson,State Senate,14,"Gowan, David",REP,935,197,613,125
Cochise,01 BE Benson,State Senate,14,"Karp, Bob",DEM,427,33,371,23
Cochise,01 BE Benson,State Senate,14,Write-In,,7,1,6,0
Cochise,01 BE Benson,State Senate,14,Overvotes,,0,0,0,0
Cochise,01 BE Benson,State Senate,14,Undervotes,,53,3,47,3
Cochise,01 BE Benson,State House,14,"Griffin, Gail",REP,885,196,575,114
Cochise,01 BE Benson,State House,14,"Nutt, Becky",REP,854,196,544,114
Cochise,01 BE Benson,State House,14,"Beach-Moschetti, Kimberly ""Kim""",DEM,404,24,353,27
Cochise,01 BE Benson,State House,14,"Maestas-Condos, Ronnie",DEM,358,26,309,23
Cochise,01 BE Benson,State House,14,Write-In,,8,3,5,0
Cochise,01 BE Benson,State House,14,Overvotes,,0,0,0,0
Cochise,01 BE Benson,State House,14,Undervotes,,335,23,288,24
Cochise,01 BE Benson,Corporation Commissioner,,"O'Connor, James ""Jim""",REP,866,196,555,115
Cochise,01 BE Benson,Corporation Commissioner,,"Marquez Peterson, Lea",REP,859,198,549,112
Cochise,01 BE Benson,Corporation Commissioner,,"Sloan, Eric",REP,821,191,523,107
Cochise,01 BE Benson,Corporation Commissioner,,"Tovar, Anna",DEM,405,25,356,24
Cochise,01 BE Benson,Corporation Commissioner,,"Stanfield, Shea",DEM,372,28,313,31
Cochise,01 BE Benson,Corporation Commissioner,,"Mundell, William ""Bill""",DEM,357,20,313,24
Cochise,01 BE Benson,Corporation Commissioner,,Write-In,,9,2,7,0
Cochise,01 BE Benson,Corporation Commissioner,,Overvotes,,0,0,0,0
Cochise,01 BE Benson,Corporation Commissioner,,Undervotes,,577,42,495,40
Cochise,02 BE J-Six,Registered Voters,,,,2096,,,
Cochise,02 BE J-Six,Ballots Cast,,,,1737,362,1285,90
Cochise,02 BE J-Six,Ballots Cast Blank,,,,2,0,1,1
Cochise,02 BE J-Six,President,,Trump / Pence,REP,1239,320,841,78
Cochise,02 BE J-Six,President,,Biden / Harris,DEM,445,33,404,8
Cochise,02 BE J-Six,President,,Jorgensen / Cohen,LBT,43,8,33,2
Cochise,02 BE J-Six,President,,Write-In,,4,0,3,1
Cochise,02 BE J-Six,President,,Overvotes,,0,0,0,0
Cochise,02 BE J-Six,President,,Undervotes,,6,1,4,1
Cochise,02 BE J-Six,U.S. Senate,,"McSally, Martha",REP,1212,313,823,76
Cochise,02 BE J-Six,U.S. Senate,,"Kelly, Mark",DEM,494,43,440,11
Cochise,02 BE J-Six,U.S. Senate,,Write-In,,8,2,5,1
Cochise,02 BE J-Six,U.S. Senate,,Overvotes,,0,0,0,0
Cochise,02 BE J-Six,U.S. Senate,,Undervotes,,23,4,17,2
Cochise,02 BE J-Six,U.S. House,2,"Martin, Brandon",REP,1224,319,832,73
Cochise,02 BE J-Six,U.S. House,2,"Kirkpatrick, Ann",DEM,469,40,415,14
Cochise,02 BE J-Six,U.S. House,2,Write-In,,2,1,1,0
