county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Yuma,001,"Registered Voters - Total ",,,,,1133,1133,1133,1133
Yuma,001,Ballots Cast - Total,,,,,214,196,18,0
Yuma,001,U.S. Senate,,1,REP,Kari LAKE,66,60,6,0
Yuma,001,U.S. Senate,,1,REP,Mark LAMB,47,41,6,0
Yuma,001,U.S. Senate,,1,REP,Elizabeth Jean REYE,5,4,1,0
Yuma,001,U.S. Senate,,1,REP,Write-In Totals,3,3,0,0
Yuma,001,U.S. Senate,,1,REP,Total Votes Cast,121,108,13,0
Yuma,001,U.S. House,7,1,REP,Daniel Frances BUTIEREZ SR.,101,90,11,0
Yuma,001,U.S. House,7,1,REP,Write-In Totals,4,4,0,0
Yuma,001,U.S. House,7,1,REP,Total Votes Cast,105,94,11,0
Yuma,001,State Senate,2,1,REP,Michelle ALTHERR,100,89,11,0
Yuma,001,State Senate,2,1,REP,Write-In Totals,2,2,0,0
Yuma,001,State Senate,2,1,REP,Total Votes Cast,102,91,11,0
Yuma,001,State House,2,2,REP,Michelle PENA,99,89,10,0
Yuma,001,State House,2,2,REP,Write-In Totals,4,4,0,0
Yuma,001,State House,2,2,REP,Total Votes Cast,103,93,10,0
Yuma,001,Corporation Commissioner,,3,REP,Rene LOPEZ,59,52,7,0
Yuma,001,Corporation Commissioner,,3,REP,Lea MARQUEZ PETERSON,62,54,8,0
Yuma,001,Corporation Commissioner,,3,REP,Rachel WALDEN,80,69,11,0
Yuma,001,Corporation Commissioner,,3,REP,Write-In Totals,1,1,0,0
Yuma,001,Corporation Commissioner,,3,REP,Total Votes Cast,202,176,26,0
Yuma,001,Board of Supervisors,1,1,REP,Write-In Totals,12,10,2,0
Yuma,001,Board of Supervisors,1,1,REP,Total Votes Cast,12,10,2,0
Yuma,001,County Assessor,,1,REP,Lupita CANDELA,13,10,3,0
Yuma,001,County Assessor,,1,REP,Victoria MORRIS CLARKSON,50,48,2,0
Yuma,001,County Assessor,,1,REP,"Steven ""Stevie"" SEALE",48,41,7,0
Yuma,001,County Assessor,,1,REP,Write-In Totals,1,1,0,0
Yuma,001,County Assessor,,1,REP,Total Votes Cast,112,100,12,0
Yuma,001,County Attorney,,1,REP,Write-In Totals,6,4,2,0
Yuma,001,County Attorney,,1,REP,Total Votes Cast,6,4,2,0
Yuma,001,County Recorder,,1,REP,"Richard ""Rick"" COLWELL",55,49,6,0
Yuma,001,County Recorder,,1,REP,David LARA,51,46,5,0
Yuma,001,County Recorder,,1,REP,Write-In Totals,2,2,0,0
Yuma,001,County Recorder,,1,REP,Total Votes Cast,108,97,11,0
Yuma,001,County School Superintendent,,1,REP,Tom HURT,110,98,12,0
Yuma,001,County School Superintendent,,1,REP,Write-In Totals,2,2,0,0
Yuma,001,County School Superintendent,,1,REP,Total Votes Cast,112,100,12,0
Yuma,001,County Sheriff,,1,REP,Leon WILMOT,114,103,11,0
Yuma,001,County Sheriff,,1,REP,Write-In Totals,2,2,0,0
Yuma,001,County Sheriff,,1,REP,Total Votes Cast,116,105,11,0
Yuma,001,County Treasurer,,1,REP,David ALEXANDRE,97,86,11,0
Yuma,001,County Treasurer,,1,REP,Write-In Totals,2,2,0,0
Yuma,001,County Treasurer,,1,REP,Total Votes Cast,99,88,11,0
Yuma,001,Judge of the Superior Court,Div 1,1,REP,Write-In Totals,10,9,1,0
Yuma,001,Judge of the Superior Court,Div 1,1,REP,Total Votes Cast,10,9,1,0
Yuma,001,Judge of the Superior Court,Div 4,1,REP,David HAWS,106,94,12,0
Yuma,001,Judge of the Superior Court,Div 4,1,REP,Write-In Totals,1,1,0,0
Yuma,001,Judge of the Superior Court,Div 4,1,REP,Total Votes Cast,107,95,12,0
Yuma,001,Judge of the Superior Court,Div 6,1,REP,Nathaniel SORENSON,99,88,11,0
Yuma,001,Judge of the Superior Court,Div 6,1,REP,Write-In Totals,2,2,0,0
Yuma,001,Judge of the Superior Court,Div 6,1,REP,Total Votes Cast,101,90,11,0
Yuma,001,Judge of the Superior Court,Div 7,1,REP,Darci WEEDE,98,87,11,0
Yuma,001,Judge of the Superior Court,Div 7,1,REP,Write-In Totals,2,2,0,0
Yuma,001,Judge of the Superior Court,Div 7,1,REP,Total Votes Cast,100,89,11,0
Yuma,001,U.S. Senate,,1,DEM,Ruben GALLEGO,86,82,4,0
Yuma,001,U.S. Senate,,1,DEM,Write-In Totals,1,0,1,0
Yuma,001,U.S. Senate,,1,DEM,Total Votes Cast,87,82,5,0
Yuma,001,U.S. House,7,1,DEM,Raul GRIJALVA,80,77,3,0
Yuma,001,U.S. House,7,1,DEM,Write-In Totals,3,2,1,0
Yuma,001,U.S. House,7,1,DEM,Total Votes Cast,83,79,4,0
Yuma,001,State Senate,2,1,DEM,Brian FERNANDEZ,52,51,1,0
Yuma,001,State Senate,2,1,DEM,Jesus Arnulfo LUGO JR.,29,27,2,0
Yuma,001,State Senate,2,1,DEM,Write-In Totals,1,0,1,0
Yuma,001,State Senate,2,1,DEM,Total Votes Cast,82,78,4,0
Yuma,001,State House,2,2,DEM,"James ""Jimmy"" HOLMES",22,22,0,0
Yuma,001,State House,2,2,DEM,Matias ROSALES,47,46,1,0
Yuma,001,State House,2,2,DEM,Mariana SANDOVAL,66,62,4,0
Yuma,001,State House,2,2,DEM,Write-In Totals,1,0,1,0
Yuma,001,State House,2,2,DEM,Total Votes Cast,136,130,6,0
Yuma,001,Corporation Commissioner,,3,DEM,Ylenia AGUILAR,73,70,3,0
Yuma,001,Corporation Commissioner,,3,DEM,Jonathon HILL,53,52,1,0
Yuma,001,Corporation Commissioner,,3,DEM,Joshua POLACHECK,53,52,1,0
Yuma,001,Corporation Commissioner,,3,DEM,Write-In Totals,3,0,3,0
Yuma,001,Corporation Commissioner,,3,DEM,Total Votes Cast,182,174,8,0
Yuma,001,Board of Supervisors,1,1,DEM,Martin PORCHAS,82,77,5,0
