county,precinct,office,district,party,candidate,votes,
Santa Cruz,Nogales 1,Registered Voters,,,,629,
Santa Cruz,Nogales 1,Ballots Cast,,,,369,
Santa Cruz,Nogales 1,President,,DEM,"BIDEN, HARRIS",293,
Santa Cruz,Nogales 1,President,,REP,"TRUMP, PENCE",66,
Santa Cruz,Nogales 1,President,,LBT,"JORGENSEN, COHEN",5,
Santa Cruz,Nogales 1,President,,,Write-In Totals,1,
Santa Cruz,Nogales 1,President,,,Write-In: Invalid Write-in,1,
Santa Cruz,Nogales 1,President,,,"Write-In: Hawkins, Walker",0,
Santa Cruz,Nogales 1,President,,,"Write-In: Simmons, Roze",0,
Santa Cruz,Nogales 1,President,,,Not Assigned,0,
Santa Cruz,Nogales 1,U.S. Senate,,DEM,"KELLY, MARK",299,
Santa Cruz,Nogales 1,U.S. Senate,,REP,"MCSALLY, MARTHA",57,
Santa Cruz,Nogales 1,U.S. Senate,,,Write-In Totals,2,
Santa Cruz,Nogales 1,U.S. Senate,,,Write-In: Invalid Write-in,2,
Santa Cruz,Nogales 1,U.S. Senate,,,"Write-In: Dorchester, Matthew",0,
Santa Cruz,Nogales 1,U.S. Senate,,,"Write-In: Haupt, Mathew",0,
Santa Cruz,Nogales 1,U.S. Senate,,,Not Assigned,0,
Santa Cruz,Nogales 1,U.S. House,3,DEM,"GRIJALVA, RAÚL",283,
Santa Cruz,Nogales 1,U.S. House,3,REP,"WOOD, DANIEL",65,
Santa Cruz,Nogales 1,U.S. House,3,,Write-In Totals,0,
Santa Cruz,Nogales 1,U.S. House,3,,Write-In: Invalid Write-in,0,
Santa Cruz,Nogales 1,U.S. House,3,,Not Assigned,0,
Santa Cruz,Nogales 1,State Senate,2,DEM,"GABALDÓN, ROSANNA",293,
Santa Cruz,Nogales 1,State Senate,2,REP,"WORKMAN, MARK",58,
Santa Cruz,Nogales 1,State Senate,2,,Write-In Totals,1,
Santa Cruz,Nogales 1,State Senate,2,,Write-In: Invalid Write-In,1,
Santa Cruz,Nogales 1,State Senate,2,,Not Assigned,0,
Santa Cruz,Nogales 1,State House,2,DEM,"DALESSANDRO, ANDREA",231,
Santa Cruz,Nogales 1,State House,2,DEM,"HERNANDEZ JR., DANIEL",241,
Santa Cruz,Nogales 1,State House,2,REP,"MCEWEN, DEBORAH",56,
Santa Cruz,Nogales 1,State House,2,,Write-In Totals,0,
Santa Cruz,Nogales 1,State House,2,,Write-In: Invalid Write-In,1,0
Santa Cruz,Nogales 1,State House,2,,Write-In: Invalid Write-In,2,0
Santa Cruz,Nogales 1,State House,2,,Not Assigned,0,
Santa Cruz,Nogales 1,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",206,
Santa Cruz,Nogales 1,Corporation Commissioner,,DEM,"STANFIELD, SHEA",189,
Santa Cruz,Nogales 1,Corporation Commissioner,,DEM,"TOVAR, ANNA",264,
Santa Cruz,Nogales 1,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",69,
Santa Cruz,Nogales 1,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",51,
Santa Cruz,Nogales 1,Corporation Commissioner,,REP,"SLOAN, ERIC",47,
Santa Cruz,Nogales 1,Corporation Commissioner,,,Write-In Totals,0,
Santa Cruz,Nogales 1,Corporation Commissioner,,,"Write-In: Gibson, Christina",0,
Santa Cruz,Nogales 1,Corporation Commissioner,,,Write-In: Invalid Write-in,1,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Write-In: Invalid Write-in,2,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Write-In: Invalid Write-in,3,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Not Assigned,0,
Santa Cruz,Nogales 1,County Assessor,,DEM,"RAMOS, PABLO A.",316,
Santa Cruz,Nogales 1,County Assessor,,,Write-In Totals,5,
Santa Cruz,Nogales 1,County Assessor,,,Write-In: Invalid Write-In,5,
Santa Cruz,Nogales 1,County Assessor,,,Not Assigned,0,
Santa Cruz,Nogales 1,County Attorney,,DEM,"SILVA, GEORGE",318,
Santa Cruz,Nogales 1,County Attorney,,,Write-In Totals,6,
Santa Cruz,Nogales 1,County Attorney,,,Write-In: Invalid Write-In,6,
Santa Cruz,Nogales 1,County Attorney,,,Not Assigned,0,
Santa Cruz,Nogales 1,County Recorder,,DEM,"SAINZ, SUZANNE ""SUZIE""",273,
Santa Cruz,Nogales 1,County Recorder,,IND,"ALVAREZ, DAVID",80,
Santa Cruz,Nogales 1,County Recorder,,,Write-In Totals,2,
Santa Cruz,Nogales 1,County Recorder,,,Write-In: Invalid Write-In,2,
Santa Cruz,Nogales 1,County Recorder,,,Not Assigned,0,
Santa Cruz,Nogales 1,County School Superintendent,,DEM,"VELÁSQUEZ, ALFREDO I.",330,
Santa Cruz,Nogales 1,County School Superintendent,,,Write-In Totals,3,
Santa Cruz,Nogales 1,County School Superintendent,,,Write-In: Invalid Write-In,3,
Santa Cruz,Nogales 1,County School Superintendent,,,Not Assigned,0,
Santa Cruz,Nogales 1,County Sheriff,,DEM,"HATHAWAY, JAMES ""DAVID""",278,
Santa Cruz,Nogales 1,County Sheriff,,IND,"AGOSTTINI, JOSÉ",64,
Santa Cruz,Nogales 1,County Sheriff,,IND,"IBARRA, ANDREW",13,
Santa Cruz,Nogales 1,County Sheriff,,,Write-In Totals,0,
Santa Cruz,Nogales 1,County Sheriff,,,Write-In: Invalid Write-In,0,
Santa Cruz,Nogales 1,County Sheriff,,,Not Assigned,0,
Santa Cruz,Nogales 1,County Treasurer,,DEM,"GARDNER GUTFAHR, LIZ",328,
Santa Cruz,Nogales 1,County Treasurer,,,Write-In Totals,3,
Santa Cruz,Nogales 1,County Treasurer,,,Write-In: Invalid Write-In,3,
Santa Cruz,Nogales 1,County Treasurer,,,Not Assigned,0,
Santa Cruz,Nogales 1,"Supr Ct Retn/BRUTINEL,ROBERT",,,YES,222,
Santa Cruz,Nogales 1,"Supr Ct Retn/BRUTINEL,ROBERT",,,NO,96,
Santa Cruz,Nogales 1,"Supr Ct Retn/GOULD, ANDREW W.",,,YES,205,
Santa Cruz,Nogales 1,"Supr Ct Retn/GOULD, ANDREW W.",,,NO,109,
Santa Cruz,Nogales 1,"Supr Ct Retn/LOPEZ IV, JOHN",,,YES,233,
Santa Cruz,Nogales 1,"Supr Ct Retn/LOPEZ IV, JOHN",,,NO,82,
Santa Cruz,Nogales 1,"Ct App Div2/EPPICH, KARL",,,YES,211,
Santa Cruz,Nogales 1,"Ct App Div2/EPPICH, KARL",,,NO,99,
Santa Cruz,Nogales 1,"Ct App Div2/VASQUEZ, GARYE",,,YES,249,
Santa Cruz,Nogales 1,"Ct App Div2/VASQUEZ, GARYE",,,NO,62,
Santa Cruz,Nogales 1,Judge of the Superior Court Div.,,,,2,
Santa Cruz,Nogales 1,Judge of the Superior Court Div.,,,"ORTEGA, LILIANA",221,
Santa Cruz,Nogales 1,Judge of the Superior Court Div.,,,"RUEDA, JOSEPH",121,
Santa Cruz,Nogales 1,Judge of the Superior Court Div.,,,Write-In Totals,0,
Santa Cruz,Nogales 1,Judge of the Superior Court Div.,,,Write-In: Invalid Write-In,0,
Santa Cruz,Nogales 1,Judge of the Superior Court Div.,,,Not Assigned,0,
Santa Cruz,Nogales 1,Council Member Nogales,,,"BONILLA JR., SAULO",205,
Santa Cruz,Nogales 1,Council Member Nogales,,,"HANESSIAN, NUBAR",145,
Santa Cruz,Nogales 1,Council Member Nogales,,,Write-In Totals,0,
Santa Cruz,Nogales 1,Council Member Nogales,,,Write-In: Invalid Write-In,0,
Santa Cruz,Nogales 1,Council Member Nogales,,,Not Assigned,0,
Santa Cruz,Nogales 1,PROPOSITION 207,,,YES,182,
Santa Cruz,Nogales 1,PROPOSITION 207,,,NO,157,
Santa Cruz,Nogales 1,PROPOSITION 208,,,YES,208,
Santa Cruz,Nogales 1,PROPOSITION 208,,,NO,131,
Santa Cruz,Nogales 1,PROPOSITION 405 NOGALES,,,YES,185,
Santa Cruz,Nogales 1,PROPOSITION 405 NOGALES,,,NO,117,
Santa Cruz,Nogales 1,PROPOSITION 406 NOGALES,,,YES,145,
Santa Cruz,Nogales 1,PROPOSITION 406 NOGALES,,,NO,176,
Santa Cruz,Nogales 1,PROPOSITION 407 NOGALES,,,YES,170,
Santa Cruz,Nogales 1,PROPOSITION 407 NOGALES,,,NO,149,
Santa Cruz,Nogales 1,PROPOSITION 408 NOGALES,,,YES,201,
Santa Cruz,Nogales 1,PROPOSITION 408 NOGALES,,,NO,119,
Santa Cruz,Nogales 1,PROPOSITION 409 NOGALES,,,YES,219,
Santa Cruz,Nogales 1,PROPOSITION 409 NOGALES,,,NO,103,
Santa Cruz,Nogales 1,PROPOSITION 410 NOGALES,,,YES,216,
Santa Cruz,Nogales 1,PROPOSITION 410 NOGALES,,,NO,105,
Santa Cruz,Nogales 1,PROPOSITION 411 NOGALES,,,YES,217,
Santa Cruz,Nogales 1,PROPOSITION 411 NOGALES,,,NO,104,
Santa Cruz,Nogales 1,PROPOSITION 412 NOGALES,,,YES,193,
Santa Cruz,Nogales 1,PROPOSITION 412 NOGALES,,,NO,122,
Santa Cruz,Nogales 2,Registered Voters,,,,1681,
Santa Cruz,Nogales 2,Ballots Cast,,,,834,
Santa Cruz,Nogales 2,President,,DEM,"BIDEN, HARRIS",641,
Santa Cruz,Nogales 2,President,,REP,"TRUMP, PENCE",161,
Santa Cruz,Nogales 2,President,,LBT,"JORGENSEN, COHEN",11,
Santa Cruz,Nogales 2,President,,,Write-In Totals,1,
Santa Cruz,Nogales 2,President,,,Write-In: Invalid Write-in,1,
Santa Cruz,Nogales 2,President,,,"Write-In: Hawkins, Walker",0,
Santa Cruz,Nogales 2,President,,,"Write-In: Simmons, Roze",0,
Santa Cruz,Nogales 2,President,,,Not Assigned,0,
Santa Cruz,Nogales 2,U.S. Senate,,DEM,"KELLY, MARK",663,
Santa Cruz,Nogales 2,U.S. Senate,,REP,"MCSALLY, MARTHA",142,
Santa Cruz,Nogales 2,U.S. Senate,,,Write-In Totals,4,
Santa Cruz,Nogales 2,U.S. Senate,,,Write-In: Invalid Write-in,4,
Santa Cruz,Nogales 2,U.S. Senate,,,"Write-In: Dorchester, Matthew",0,
Santa Cruz,Nogales 2,U.S. Senate,,,"Write-In: Haupt, Mathew",0,
Santa Cruz,Nogales 2,U.S. Senate,,,Not Assigned,0,
Santa Cruz,Nogales 2,U.S. House,3,DEM,"GRIJALVA, RAÚL",674,
Santa Cruz,Nogales 2,U.S. House,3,REP,"WOOD, DANIEL",137,
Santa Cruz,Nogales 2,U.S. House,3,,Write-In Totals,2,
Santa Cruz,Nogales 2,U.S. House,3,,Write-In: Invalid Write-in,2,
Santa Cruz,Nogales 2,U.S. House,3,,Not Assigned,0,
Santa Cruz,Nogales 2,State Senate,2,DEM,"GABALDÓN, ROSANNA",663,
Santa Cruz,Nogales 2,State Senate,2,REP,"WORKMAN, MARK",133,
Santa Cruz,Nogales 2,State Senate,2,,Write-In Totals,1,
Santa Cruz,Nogales 2,State Senate,2,,Write-In: Invalid Write-In,1,
Santa Cruz,Nogales 2,State Senate,2,,Not Assigned,0,
Santa Cruz,Nogales 2,State House,2,DEM,"DALESSANDRO, ANDREA",474,
Santa Cruz,Nogales 2,State House,2,DEM,"HERNANDEZ JR., DANIEL",579,
Santa Cruz,Nogales 2,State House,2,REP,"MCEWEN, DEBORAH",118,
Santa Cruz,Nogales 2,State House,2,,Write-In Totals,3,
Santa Cruz,Nogales 2,State House,2,,Write-In: Invalid Write-In,1,3
Santa Cruz,Nogales 2,State House,2,,Write-In: Invalid Write-In,2,0
Santa Cruz,Nogales 2,State House,2,,Not Assigned,0,
Santa Cruz,Nogales 2,Corporation Commissioner,,DEM,"MUNDELL, WILLIAM ""BILL""",413,
Santa Cruz,Nogales 2,Corporation Commissioner,,DEM,"STANFIELD, SHEA",428,
Santa Cruz,Nogales 2,Corporation Commissioner,,DEM,"TOVAR, ANNA",604,
Santa Cruz,Nogales 2,Corporation Commissioner,,REP,"MARQUEZ PETERSON, LEA",143,
Santa Cruz,Nogales 2,Corporation Commissioner,,REP,"O'CONNOR, JAMES ""JIM""",109,
Santa Cruz,Nogales 2,Corporation Commissioner,,REP,"SLOAN, ERIC",96,
