county,precinct,office,district,candidate,party,votes,election_day,early_voting,central_count
La Paz,051 PARKER,President,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,President,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,President,,Times Blank Voted,,33,13,16,4
La Paz,051 PARKER,President,,Times Over Voted,,11,0,6,5
La Paz,051 PARKER,President,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,President,,TRUMP / PENCE,REP,951,370,426,155
La Paz,051 PARKER,President,,CLINTON / KAINE,DEM,702,299,288,115
La Paz,051 PARKER,President,,JOHNSON / WELD,LIB,85,27,44,14
La Paz,051 PARKER,President,,STEIN / BARAKA,GRN,43,25,3,15
La Paz,051 PARKER,President,,Write-in,,35,16,16,3
La Paz,051 PARKER,U.S. Senate,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,U.S. Senate,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,U.S. Senate,,Times Blank Voted,,70,19,36,15
La Paz,051 PARKER,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,U.S. Senate,,"MCCAIN, JOHN",REP,996,409,421,166
La Paz,051 PARKER,U.S. Senate,,"KIRKPATRICK, ANN",DEM,660,276,283,101
La Paz,051 PARKER,U.S. Senate,,"SWING, GARY",GRN,117,43,50,24
La Paz,051 PARKER,U.S. Senate,,Write-in,,17,3,9,5
La Paz,051 PARKER,U.S. House,4,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,U.S. House,4,Times Counted,,1860,750,799,311
La Paz,051 PARKER,U.S. House,4,Times Blank Voted,,169,62,66,41
La Paz,051 PARKER,U.S. House,4,Times Over Voted,,1,0,1,0
La Paz,051 PARKER,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,U.S. House,4,"GOSAR, PAUL",REP,999,391,450,158
La Paz,051 PARKER,U.S. House,4,"WEISSER, MIKEL",DEM,691,297,282,112
La Paz,051 PARKER,U.S. House,4,Write-in,,0,0,0,0
La Paz,051 PARKER,State Senate,5,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,State Senate,5,Times Counted,,1860,750,799,311
La Paz,051 PARKER,State Senate,5,Times Blank Voted,,750,306,318,126
La Paz,051 PARKER,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,State Senate,5,"BORRELLI, SONNY",REP,1098,437,476,185
