county,precinct,office,district,candidate,party,votes,early_voting,early_voting_tsx,election_day,provisional,tsx
Coconino,Flagstaff 1,President,,Registered Voters,NP,1561,0,0,0,0,0
Coconino,Flagstaff 1,President,,Times Counted,NP,1261,982,0,214,64,1
Coconino,Flagstaff 1,President,,Times Blank Voted,NP,11,11,0,0,0,0
Coconino,Flagstaff 1,President,,Times Over Voted,NP,1,1,0,0,0,0
Coconino,Flagstaff 1,President,,Number of Under Votes,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,President,,CLINTON-KAINE,DEM,903,720,0,143,39,1
Coconino,Flagstaff 1,President,,TRUMP-PENCE,REP,239,169,0,54,16,0
Coconino,Flagstaff 1,President,,JOHNSON-WELD,LBT,43,29,0,12,2,0
Coconino,Flagstaff 1,President,,STEIN-BARAKA,GRN,39,32,0,2,5,0
Coconino,Flagstaff 1,President,,Write-in,NP,25,20,0,3,2,0
Coconino,Flagstaff 1,U.S. Senate,,Registered Voters,NP,1561,0,0,0,0,0
Coconino,Flagstaff 1,U.S. Senate,,Times Counted,NP,1261,982,0,214,64,1
Coconino,Flagstaff 1,U.S. Senate,,Times Blank Voted,NP,26,17,0,7,2,0
Coconino,Flagstaff 1,U.S. Senate,,Times Over Voted,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,U.S. Senate,,Number of Under Votes,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,U.S. Senate,,"KIRKPATRICK, ANN",DEM,890,723,0,127,39,1
Coconino,Flagstaff 1,U.S. Senate,,"MCCAIN, JOHN",REP,299,210,0,70,19,0
Coconino,Flagstaff 1,U.S. Senate,,"SWING, GARY",GRN,44,31,0,10,3,0
Coconino,Flagstaff 1,U.S. Senate,,Write-in,NP,2,1,0,0,1,0
Coconino,Flagstaff 1,U.S. House,1,Registered Voters,NP,1561,0,0,0,0,0
Coconino,Flagstaff 1,U.S. House,1,Times Counted,NP,1261,982,0,214,64,1
Coconino,Flagstaff 1,U.S. House,1,Times Blank Voted,NP,73,51,0,18,4,0
Coconino,Flagstaff 1,U.S. House,1,Times Over Voted,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,U.S. House,1,Number of Under Votes,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,U.S. House,1,"O'HALLERAN, TOM",DEM,899,725,0,133,40,1
Coconino,Flagstaff 1,U.S. House,1,"BABEU, PAUL",REP,207,148,0,43,16,0
Coconino,Flagstaff 1,U.S. House,1,"PARRISH, RAY",GRN,80,58,0,19,3,0
Coconino,Flagstaff 1,U.S. House,1,Write-in,NP,2,0,0,1,1,0
Coconino,Flagstaff 1,State Senate,6,Registered Voters,NP,1561,0,0,0,0,0
Coconino,Flagstaff 1,State Senate,6,Times Counted,NP,1249,977,0,207,64,1
Coconino,Flagstaff 1,State Senate,6,Times Blank Voted,NP,91,69,0,18,4,0
Coconino,Flagstaff 1,State Senate,6,Times Over Voted,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,State Senate,6,Number of Under Votes,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,State Senate,6,"BAGLEY, NIKKI CHECK",DEM,924,741,0,140,42,1
Coconino,Flagstaff 1,State Senate,6,"ALLEN, SYLVIA TENNEY",REP,233,167,0,49,17,0
Coconino,Flagstaff 1,State Senate,6,Write-in,NP,1,0,0,0,1,0
Coconino,Flagstaff 1,State Representative,6,Registered Voters,NP,1561,0,0,0,0,0
Coconino,Flagstaff 1,State Representative,6,Times Counted,NP,1249,977,0,207,64,1
Coconino,Flagstaff 1,State Representative,6,Times Blank Voted,NP,101,74,0,23,4,0
Coconino,Flagstaff 1,State Representative,6,Times Over Voted,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,State Representative,6,Number of Under Votes,NP,851,685,0,124,42,0
Coconino,Flagstaff 1,State Representative,6,"MARTINEZ, ALEX",DEM,908,730,0,134,43,1
Coconino,Flagstaff 1,State Representative,6,"BARTON, BRENDA",REP,259,184,0,59,16,0
Coconino,Flagstaff 1,State Representative,6,"THORPE, BOB",REP,272,202,0,51,18,1
Coconino,Flagstaff 1,State Representative,6,Write-in,NP,6,5,0,0,1,0
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,Registered Voters,NP,1561,0,0,0,0,0
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,Times Counted,NP,1249,977,0,207,64,1
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,Times Blank Voted,NP,131,102,0,23,6,0
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,Times Over Voted,NP,0,0,0,0,0,0
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,Number of Under Votes,NP,953,724,0,173,55,1
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,"CHABIN, TOM",DEM,869,708,0,120,40,1
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,"MUNDELL, WILLIAM",DEM,779,639,0,110,29,1
Coconino,Flagstaff 1,CORPORATION COMMISSIONER (ELECT THREE),,"BURNS, ROBERT",REP,296,222,0,54,20,0
