county,votes,election_day,early_voting,provisional,party,office,district,candidate,precinct
Cochise,1583,0,0,0,,Registered Voters,,REGISTERED VOTERS,01 BE Benson
Cochise,1833,0,0,0,,Registered Voters,,REGISTERED VOTERS,02 BE J-Six
Cochise,1820,0,0,0,,Registered Voters,,REGISTERED VOTERS,03 BE San Pedro
Cochise,1346,0,0,0,,Registered Voters,,REGISTERED VOTERS,04 BI Bisbee
Cochise,1453,0,0,0,,Registered Voters,,REGISTERED VOTERS,05 BI Don Luis
Cochise,1478,0,0,0,,Registered Voters,,REGISTERED VOTERS,06 BI Warren
Cochise,329,0,0,0,,Registered Voters,,REGISTERED VOTERS,07 Bowie
Cochise,1605,0,0,0,,Registered Voters,,REGISTERED VOTERS,08 Cochise Stronghold
Cochise,1353,0,0,0,,Registered Voters,,REGISTERED VOTERS,09 DO Calvary
Cochise,1788,0,0,0,,Registered Voters,,REGISTERED VOTERS,10 DO Carlson
Cochise,1863,0,0,0,,Registered Voters,,REGISTERED VOTERS,11 DO Castro Park
Cochise,1332,0,0,0,,Registered Voters,,REGISTERED VOTERS,12 DO Gadsden
Cochise,1570,0,0,0,,Registered Voters,,REGISTERED VOTERS,13 DO Sunnyside
Cochise,1738,0,0,0,,Registered Voters,,REGISTERED VOTERS,14 Greater San Pedro
Cochise,1874,0,0,0,,Registered Voters,,REGISTERED VOTERS,15 Hereford
Cochise,1077,0,0,0,,Registered Voters,,REGISTERED VOTERS,16 Huachuca
Cochise,956,0,0,0,,Registered Voters,,REGISTERED VOTERS,17 McNeal
Cochise,665,0,0,0,,Registered Voters,,REGISTERED VOTERS,18 Naco
Cochise,1376,0,0,0,,Registered Voters,,REGISTERED VOTERS,19 Palominas
Cochise,1359,0,0,0,,Registered Voters,,REGISTERED VOTERS,20 Pirtleville
Cochise,1081,0,0,0,,Registered Voters,,REGISTERED VOTERS,21 Pomerene
Cochise,280,0,0,0,,Registered Voters,,REGISTERED VOTERS,22 Portal
Cochise,237,0,0,0,,Registered Voters,,REGISTERED VOTERS,23 San Simon
Cochise,1949,0,0,0,,Registered Voters,,REGISTERED VOTERS,24 St David
Cochise,532,0,0,0,,Registered Voters,,REGISTERED VOTERS,25 Sunizona
Cochise,2177,0,0,0,,Registered Voters,,REGISTERED VOTERS,26 SV Avenida Del Sol
Cochise,2798,0,0,0,,Registered Voters,,REGISTERED VOTERS,27 SV Buffalo Soldier
Cochise,1835,0,0,0,,Registered Voters,,REGISTERED VOTERS,28 SV Busby
Cochise,1181,0,0,0,,Registered Voters,,REGISTERED VOTERS,29 SV Carmelita
Cochise,1029,0,0,0,,Registered Voters,,REGISTERED VOTERS,30 SV Cloud
Cochise,1895,0,0,0,,Registered Voters,,REGISTERED VOTERS,31 SV College
Cochise,2301,0,0,0,,Registered Voters,,REGISTERED VOTERS,32 SV Country Club
Cochise,1902,0,0,0,,Registered Voters,,REGISTERED VOTERS,33 SV Estates
Cochise,1708,0,0,0,,Registered Voters,,REGISTERED VOTERS,34 SV Hopi
Cochise,1982,0,0,0,,Registered Voters,,REGISTERED VOTERS,35 SV Moson
Cochise,1461,0,0,0,,Registered Voters,,REGISTERED VOTERS,36 SV Pueblo Del Sol
Cochise,1448,0,0,0,,Registered Voters,,REGISTERED VOTERS,37 SV Ramsey
Cochise,1220,0,0,0,,Registered Voters,,REGISTERED VOTERS,38 SV Snyder
Cochise,2926,0,0,0,,Registered Voters,,REGISTERED VOTERS,39 SV Soldier Creek
