county,votes,election_day,early_voting,provisional,party,office,district,candidate,precinct
Gila,538,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 1
Gila,225,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 2
Gila,145,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 3
Gila,592,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 4
Gila,812,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 6
Gila,426,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 7
Gila,562,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 8
Gila,664,0,0,0,,Registered Voters,,REGISTERED VOTERS,Globe No. 11
Gila,725,0,0,0,,Registered Voters,,REGISTERED VOTERS,East Globe
Gila,369,0,0,0,,Registered Voters,,REGISTERED VOTERS,Miami No. 1
Gila,556,0,0,0,,Registered Voters,,REGISTERED VOTERS,Miami No. 3
Gila,798,0,0,0,,Registered Voters,,REGISTERED VOTERS,Claypool No. 1
Gila,679,0,0,0,,Registered Voters,,REGISTERED VOTERS,Claypool No. 2
Gila,432,0,0,0,,Registered Voters,,REGISTERED VOTERS,Claypool No. 3
Gila,445,0,0,0,,Registered Voters,,REGISTERED VOTERS,Central Heights
Gila,218,0,0,0,,Registered Voters,,REGISTERED VOTERS,Pinal Creek
Gila,136,0,0,0,,Registered Voters,,REGISTERED VOTERS,Wheatfields
Gila,1085,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 1
Gila,1747,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 2
Gila,2278,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 3
Gila,1021,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 4
Gila,1516,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 5
Gila,939,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 6
Gila,780,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 7
Gila,1188,0,0,0,,Registered Voters,,REGISTERED VOTERS,Payson No. 8
Gila,1952,0,0,0,,Registered Voters,,REGISTERED VOTERS,Star Valley
Gila,724,0,0,0,,Registered Voters,,REGISTERED VOTERS,Copper Basin
Gila,431,0,0,0,,Registered Voters,,REGISTERED VOTERS,Gisela
Gila,545,0,0,0,,Registered Voters,,REGISTERED VOTERS,Pine-Strawberry East
Gila,1530,0,0,0,,Registered Voters,,REGISTERED VOTERS,Pine-Strawberry West
Gila,187,0,0,0,,Registered Voters,,REGISTERED VOTERS,Roosevelt
Gila,123,0,0,0,,Registered Voters,,REGISTERED VOTERS,Sierra Ancha
Gila,1027,0,0,0,,Registered Voters,,REGISTERED VOTERS,Tonto Basin
Gila,206,0,0,0,,Registered Voters,,REGISTERED VOTERS,Whispering Pines
Gila,499,0,0,0,,Registered Voters,,REGISTERED VOTERS,Young
Gila,478,0,0,0,,Registered Voters,,REGISTERED VOTERS,Zane Grey
Gila,555,0,0,0,,Registered Voters,,REGISTERED VOTERS,Canyon Day
Gila,56,0,0,0,,Registered Voters,,REGISTERED VOTERS,Carrizo
Gila,2377,0,0,0,,Registered Voters,,REGISTERED VOTERS,San Carlos
Gila,415,311,90,14,,Ballots Cast,,BALLOTS CAST,Globe No. 1
Gila,161,125,33,3,,Ballots Cast,,BALLOTS CAST,Globe No. 2
Gila,116,102,12,2,,Ballots Cast,,BALLOTS CAST,Globe No. 3
Gila,429,343,76,10,,Ballots Cast,,BALLOTS CAST,Globe No. 4
Gila,618,475,119,24,,Ballots Cast,,BALLOTS CAST,Globe No. 6
Gila,311,225,79,7,,Ballots Cast,,BALLOTS CAST,Globe No. 7
Gila,389,299,80,10,,Ballots Cast,,BALLOTS CAST,Globe No. 8
Gila,530,385,131,14,,Ballots Cast,,BALLOTS CAST,Globe No. 11
Gila,588,445,119,24,,Ballots Cast,,BALLOTS CAST,East Globe
Gila,250,191,51,8,,Ballots Cast,,BALLOTS CAST,Miami No. 1
Gila,380,265,97,18,,Ballots Cast,,BALLOTS CAST,Miami No. 3
