county,votes,election_day,early_voting,provisional,party,office,district,candidate,precinct
Santa Cruz,62,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 1
Santa Cruz,156,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 2
Santa Cruz,88,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 3
Santa Cruz,45,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 4
Santa Cruz,110,0,0,0,,Registered Voters,,REGISTERED VOTERS,Coronado 5
Santa Cruz,59,0,0,0,,Registered Voters,,REGISTERED VOTERS,Elgin 6
Santa Cruz,313,0,0,0,,Registered Voters,,REGISTERED VOTERS,Rio Rico 7
Santa Cruz,214,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 8
Santa Cruz,34,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 9
Santa Cruz,106,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 10
Santa Cruz,161,0,0,0,,Registered Voters,,REGISTERED VOTERS,Tubac 11
Santa Cruz,64,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 12
Santa Cruz,39,0,0,0,,Registered Voters,,REGISTERED VOTERS,Santa Cruz 13
Santa Cruz,86,0,0,0,,Registered Voters,,REGISTERED VOTERS,Patagonia 14
Santa Cruz,83,0,0,0,,Registered Voters,,REGISTERED VOTERS,Sonoita 15
Santa Cruz,53,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 16
Santa Cruz,271,0,0,0,,Registered Voters,,REGISTERED VOTERS,Calabasas 17
Santa Cruz,61,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 18
Santa Cruz,234,0,0,0,,Registered Voters,,REGISTERED VOTERS,Baca 19
Santa Cruz,113,0,0,0,,Registered Voters,,REGISTERED VOTERS,Nogales 20
Santa Cruz,189,0,0,0,,Registered Voters,,REGISTERED VOTERS,Peck Canyon 21
Santa Cruz,58,0,0,0,,Registered Voters,,REGISTERED VOTERS,Potrero 22
Santa Cruz,5,0,0,0,,Registered Voters,,REGISTERED VOTERS,Mountain 23
Santa Cruz,14,0,0,0,,Registered Voters,,REGISTERED VOTERS,Lake Patagonia 24
Santa Cruz,32,9,20,2,,Ballots Cast,,BALLOTS CAST,Nogales 1
Santa Cruz,82,26,48,8,,Ballots Cast,,BALLOTS CAST,Nogales 2
Santa Cruz,49,14,31,4,,Ballots Cast,,BALLOTS CAST,Nogales 3
Santa Cruz,26,8,15,1,,Ballots Cast,,BALLOTS CAST,Nogales 4
Santa Cruz,69,21,44,4,,Ballots Cast,,BALLOTS CAST,Coronado 5
Santa Cruz,50,11,37,1,,Ballots Cast,,BALLOTS CAST,Elgin 6
Santa Cruz,216,54,147,13,,Ballots Cast,,BALLOTS CAST,Rio Rico 7
Santa Cruz,122,40,71,10,,Ballots Cast,,BALLOTS CAST,Nogales 8
Santa Cruz,22,7,13,1,,Ballots Cast,,BALLOTS CAST,Nogales 9
