contest,subjurisdiction,precinct_id,contest_name,choice,choice_name,number
10,105 / 110 / 115 / 120 / 140 CG1,999999,Race Statistics,999999,Number of Precincts,1
10,105 / 110 / 115 / 120 / 140 CG1,999999,Race Statistics,999998,Number of Precincts Reporting,1
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,999999,Number of Precincts for Race,1
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,999998,Number of Precincts Reporting,1
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,999997,Registered Voters,735
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,999996,Times Counted,455
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,10,"SANTORUM, RICK",2
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,20,"COOK, TIM",0
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,30,"PAUL, RAND",0
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,40,"RUBIO, MARCO",42
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,50,"GRAHAM, LINDSEY",1
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,60,"KASICH, JOHN R.",33
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,70,"BUSH, JEB",6
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,80,"TRUMP, DONALD J.",218
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,90,"FIORINA, CARLY",1
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,100,"PATAKI, GEORGE E.",0
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,110,"CRUZ, TED",137
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,120,"HUCKABEE, MIKE",2
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,130,"CHRISTIE, CHRIS",1
10,105 / 110 / 115 / 120 / 140 CG1,10,(REP) President,140,"CARSON, BEN",12
10,105 / 110 / 115 / 120 / 140 CG1,20,(DEM) President,999999,Number of Precincts for Race,1
