county,precinct,office,district,candidate,party_name,votes,election_day,early_voting,provisional
Greenlee,001 Eagle,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,18,0,0,0
Greenlee,002 Blue,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,37,0,0,0
Greenlee,003 Clifton 1,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,878,0,0,0
Greenlee,004 Clifton 2,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,555,0,0,0
Greenlee,005 Morenci,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1128,0,0,0
Greenlee,006 East Plantsite,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,350,0,0,0
Greenlee,007 York/Sheldon,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,692,0,0,0
Greenlee,008 Duncan,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,877,0,0,0
Greenlee,001 Eagle,BALLOTS CAST,,BALLOTS CAST - TOTAL,,14,0,14,0
Greenlee,002 Blue,BALLOTS CAST,,BALLOTS CAST - TOTAL,,33,9,24,0
Greenlee,003 Clifton 1,BALLOTS CAST,,BALLOTS CAST - TOTAL,,463,76,374,13
Greenlee,004 Clifton 2,BALLOTS CAST,,BALLOTS CAST - TOTAL,,351,60,288,3
Greenlee,005 Morenci,BALLOTS CAST,,BALLOTS CAST - TOTAL,,534,184,316,34
Greenlee,006 East Plantsite,BALLOTS CAST,,BALLOTS CAST - TOTAL,,148,57,77,14
Greenlee,007 York/Sheldon,BALLOTS CAST,,BALLOTS CAST - TOTAL,,468,91,371,6
Greenlee,008 Duncan,BALLOTS CAST,,BALLOTS CAST - TOTAL,,588,132,439,17
Greenlee,001 Eagle,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,002 Blue,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,003 Clifton 1,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,004 Clifton 2,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,005 Morenci,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,006 East Plantsite,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,007 York/Sheldon,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,008 Duncan,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
Greenlee,001 Eagle,U.S. Senate,,"MCSALLY, MARTHA",REP,14,0,14,0
Greenlee,002 Blue,U.S. Senate,,"MCSALLY, MARTHA",REP,29,7,22,0
Greenlee,003 Clifton 1,U.S. Senate,,"MCSALLY, MARTHA",REP,161,30,125,6
